Gene	Description	GeneSeurat	GeneDescription	Chromosome	PosStart	PosEnd	Strand	GeneDescription2
PBANKA_0932200	peptidyl-prolyl cis-trans isomerase, putative	PBANKA-0932200	PBANKA_0932200 - peptidyl-prolyl cis-trans isomerase, putative	PbANKA_09_v3	1175534	1176326	+	peptidyl-prolyl cis-trans isomerase, putative - PBANKA_0932200
PBANKA_0832100	conserved Plasmodium protein, unknown function	PBANKA-0832100	PBANKA_0832100 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	1221774	1223417	+	conserved Plasmodium protein, unknown function - PBANKA_0832100
PBANKA_1112300	ras-related protein Rab-1B, putative	PBANKA-1112300	PBANKA_1112300 - ras-related protein Rab-1B, putative	PbANKA_11_v3	490401	492148	+	ras-related protein Rab-1B, putative - PBANKA_1112300
PBANKA_1307600	dephospho-CoA kinase, putative	PBANKA-1307600	PBANKA_1307600 - dephospho-CoA kinase, putative	PbANKA_13_v3	367598	368559	-	dephospho-CoA kinase, putative - PBANKA_1307600
PBANKA_0818100	N-glycosylase/DNA lyase, putative	PBANKA-0818100	PBANKA_0818100 - N-glycosylase/DNA lyase, putative	PbANKA_08_v3	731447	733129	-	N-glycosylase/DNA lyase, putative - PBANKA_0818100
PBANKA_1329900	conserved Plasmodium protein, unknown function	PBANKA-1329900	PBANKA_1329900 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	1220891	1221968	+	conserved Plasmodium protein, unknown function - PBANKA_1329900
PBANKA_1142400	nucleoside diphosphate kinase b, putative	PBANKA-1142400	PBANKA_1142400 - nucleoside diphosphate kinase b, putative	PbANKA_11_v3	1595656	1596105	+	nucleoside diphosphate kinase b, putative - PBANKA_1142400
PBANKA_1360200	conserved Plasmodium protein, unknown function	PBANKA-1360200	PBANKA_1360200 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	2293756	2294157	+	conserved Plasmodium protein, unknown function - PBANKA_1360200
PBANKA_0210300	seipin domain-containing protein, putative	PBANKA-0210300	PBANKA_0210300 - seipin domain-containing protein, putative	PbANKA_02_v3	363312	364796	+	seipin domain-containing protein, putative - PBANKA_0210300
PBANKA_1219900	Cg7 protein, putative	PBANKA-1219900	PBANKA_1219900 - Cg7 protein, putative	PbANKA_12_v3	765313	768847	-	Cg7 protein, putative - PBANKA_1219900
PBANKA_1300071	PIR protein, pseudogene	PBANKA-1300071	PBANKA_1300071 - PIR protein, pseudogene	PbANKA_13_v3	21332	22455	-	PIR protein, pseudogene - PBANKA_1300071
PBANKA_0700071	PIR protein	PBANKA-0700071	PBANKA_0700071 - PIR protein	PbANKA_07_v3	19400	20540	-	PIR protein - PBANKA_0700071
PBANKA_0942000	calcium/calmodulin-dependent protein kinase, putative	PBANKA-0942000	PBANKA_0942000 - calcium/calmodulin-dependent protein kinase, putative	PbANKA_09_v3	1515422	1518772	-	calcium/calmodulin-dependent protein kinase, putative - PBANKA_0942000
PBANKA_1127700	nicotinate phosphoribosyltransferase, putative	PBANKA-1127700	PBANKA_1127700 - nicotinate phosphoribosyltransferase, putative	PbANKA_11_v3	1038124	1040193	-	nicotinate phosphoribosyltransferase, putative - PBANKA_1127700
PBANKA_0933900	glyoxalase I, putative	PBANKA-0933900	PBANKA_0933900 - glyoxalase I, putative	PbANKA_09_v3	1230859	1231920	-	glyoxalase I, putative - PBANKA_0933900
PBANKA_1216800	conserved Plasmodium protein, unknown function	PBANKA-1216800	PBANKA_1216800 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	640837	646708	+	conserved Plasmodium protein, unknown function - PBANKA_1216800
PBANKA_0006701	PIR protein, pseudogene	PBANKA-0006701	PBANKA_0006701 - PIR protein, pseudogene	PbANKA_00_v3_archived_contig_2	7603	8428	-	PIR protein, pseudogene - PBANKA_0006701
PBANKA_0806700	conserved Plasmodium protein, unknown function	PBANKA-0806700	PBANKA_0806700 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	314297	328273	-	conserved Plasmodium protein, unknown function - PBANKA_0806700
PBANKA_1241800	DNA replication licensing factor MCM3, putative	PBANKA-1241800	PBANKA_1241800 - DNA replication licensing factor MCM3, putative	PbANKA_12_v3	1585324	1588252	-	DNA replication licensing factor MCM3, putative - PBANKA_1241800
PBANKA_0826400	zinc binding protein (Yippee), putative	PBANKA-0826400	PBANKA_0826400 - zinc binding protein (Yippee), putative	PbANKA_08_v3	1013888	1014693	+	zinc binding protein (Yippee), putative - PBANKA_0826400
PBANKA_0943300	actin-like protein, putative	PBANKA-0943300	PBANKA_0943300 - actin-like protein, putative	PbANKA_09_v3	1568328	1569845	-	actin-like protein, putative - PBANKA_0943300
PBANKA_1141200	ubiquitin-activating enzyme, putative	PBANKA-1141200	PBANKA_1141200 - ubiquitin-activating enzyme, putative	PbANKA_11_v3	1555076	1556641	-	ubiquitin-activating enzyme, putative - PBANKA_1141200
PBANKA_0302200	dynein light chain, putative	PBANKA-0302200	PBANKA_0302200 - dynein light chain, putative	PbANKA_03_v3	72431	73227	-	dynein light chain, putative - PBANKA_0302200
PBANKA_1219800	Cg2 protein, putative	PBANKA-1219800	PBANKA_1219800 - Cg2 protein, putative	PbANKA_12_v3	756772	764028	-	Cg2 protein, putative - PBANKA_1219800
PBANKA_0912100	casein kinase 1, putative	PBANKA-0912100	PBANKA_0912100 - casein kinase 1, putative	PbANKA_09_v3	454542	456457	+	casein kinase 1, putative - PBANKA_0912100
PBANKA_1211700	conserved Plasmodium protein, unknown function	PBANKA-1211700	PBANKA_1211700 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	433966	435765	-	conserved Plasmodium protein, unknown function - PBANKA_1211700
PBANKA_0314400	E2F-associated phosphoprotein, putative	PBANKA-0314400	PBANKA_0314400 - E2F-associated phosphoprotein, putative	PbANKA_03_v3	504931	506067	-	E2F-associated phosphoprotein, putative - PBANKA_0314400
PBANKA_0714800	ribosome assembly protein RRB1, putative	PBANKA-0714800	PBANKA_0714800 - ribosome assembly protein RRB1, putative	PbANKA_07_v3	553946	555280	+	ribosome assembly protein RRB1, putative - PBANKA_0714800
PBANKA_1009200	conserved Plasmodium protein, unknown function	PBANKA-1009200	PBANKA_1009200 - conserved Plasmodium protein, unknown function	PbANKA_10_v3	422856	427697	+	conserved Plasmodium protein, unknown function - PBANKA_1009200
PBANKA_1337100	splicing factor 1, putative	PBANKA-1337100	PBANKA_1337100 - splicing factor 1, putative	PbANKA_13_v3	1462285	1464511	+	splicing factor 1, putative - PBANKA_1337100
